id,title,authors,year,venue,search_strings,v1_decision,v1_reason
67,Footprints of fitness functions in search-based software testing,Carlos Oliveira and Yuan Fang Li and Aldeida Aleti and Mohamed Abdelrazek,2019,GECCO 2019 - Proceedings of the 2019 Genetic and Evolutionary Computation Conference,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
68,Generating Accurate Assert Statements for Unit Test Cases using Pretrained Transformers,Michele Tufano and Dawn Drain and Alexey Svyatkovskiy and Neel Sundaresan,2022,"Proceedings - 3rd ACM/IEEE International Conference on Automation of Software Test, AST 2022",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
69,On the Effectiveness of Unified Debugging: An Extensive Study on 16 Program Repair Systems,Samuel Benton and Xia Li and Yiling Lou and Lingming Zhang,2020,"Proceedings - 2020 35th IEEE/ACM International Conference on Automated Software Engineering, ASE 2020",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
70,Software Testing Effort Estimation and Related Problems,Ilona Bluemke and Agnieszka Malanowska,2022,ACM Computing Surveys,String A + String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
71,A systematic review on software robustness assessment,Nuno Laranjeiro and JoÃ£o Agnelo and Jorge Bernardino,2022,ACM Computing Surveys,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
72,Faster Mutation Analysis with Fewer Processes and Smaller Overheads,Bo Wang and Sirui Lu and Yingfei Xiong and Feng Liu,2021,"Proceedings - 2021 36th IEEE/ACM International Conference on Automated Software Engineering, ASE 2021",String A,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
73,A Survey on Deep Learning for Software Engineering,Yanming Yang and Xin Xia and David Lo and John Grundy,2022,ACM Computing Surveys,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
74,Do bugs lead to unnaturalness of source code?,Yanjie Jiang and Hui Liu and Yuxia Zhang and Weixing Ji and Hao Zhong and Lu Zhang,2022,ESEC/FSE 2022 - Proceedings of the 30th ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
75,"A Taxonomy of Information Attributes for Test Case Prioritisation: Applicability, Machine Learning",Aurora RamÃ­rez and Robert Feldt and JosÃ© RaÃºl Romero,2023,ACM Transactions on Software Engineering and Methodology,String A + String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
76,QDiff: Differential Testing of Quantum Software Stacks,Jiyuan Wang and Qian Zhang and Guoqing Harry Xu and Miryung Kim,2021,"Proceedings - 2021 36th IEEE/ACM International Conference on Automated Software Engineering, ASE 2021",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
77,Learning to Construct Better Mutation Faults,Zhao Tian and Junjie Chen and Qihao Zhu and Junjie Yang and Lingming Zhang,2022,ACM International Conference Proceeding Series,String A,INCLUDE,
78,Continuous Integration and Delivery Practices for Cyber-Physical Systems: An Interview-Based Study,Fiorella Zampetti and Damian Tamburri and Sebastiano Panichella and Annibale Panichella and Gerardo Canfora and Massimiliano Di Penta,2023,ACM Transactions on Software Engineering and Methodology,String A + String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
79,An initial investigation of ChatGPT unit test generation capability,Vitor Guilherme and Auri Vincenzi,2023,ACM International Conference Proceeding Series,String A,INCLUDE,
80,Automating Code-Related Tasks Through Transformers: The Impact of Pre-training,Rosalia Tufano and Luca Pascarella and Gabriele Bavota,2023,Proceedings - International Conference on Software Engineering,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
81,Formal Specification and Testing for Reinforcement Learning,Mahsa Varshosaz and Mohsen Ghaffari and Einar Broch Johnsen and Andrzej Wasowski,2023,Proceedings of the ACM on Programming Languages,String A,INCLUDE,
82,A Survey of Learning-based Automated Program Repair,Quanjun Zhang and Chunrong Fang and Yuxiang Ma and Weisong Sun and Zhenyu Chen,2023,ACM Transactions on Software Engineering and Methodology,String A + String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
83,Searching for Quality: Genetic Algorithms and Metamorphic Testing for Software Engineering ML,Leonhard Applis and Annibale Panichella and Ruben Marang,2023,GECCO 2023 - Proceedings of the 2023 Genetic and Evolutionary Computation Conference,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
84,Large Language Models for Test-Free Fault Localization,Aidan Z.H. Yang and Ruben Martins and Claire Le Goues and Vincent J. Hellendoorn,2024,Proceedings - International Conference on Software Engineering,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
85,Contextual Predictive Mutation Testing,Kush Jain and Uri Alon and Alex Groce and Claire Le Goues,2023,ESEC/FSE 2023 - Proceedings of the 31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering,String A,INCLUDE,
86,LaF: Labeling-free Model Selection for Automated Deep Neural Network Reusing,Qiang Hu and Yuejun Guo and Xiaofei Xie and Maxime Cordy and Mike Papadakis and Yves Le Traon,2023,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
87,CodaMosa: Escaping Coverage Plateaus in Test Generation with Pre-trained Large Language Models,Caroline Lemieux and Jeevana Priya Inala and Shuvendu K. Lahiri and Siddhartha Sen,2023,Proceedings - International Conference on Software Engineering,String A + String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
88,RoboWorld: Verification of Robotic Systems with Environment in the Loop,James Baxter and Gustavo Carvalho and Ana Cavalcanti and Francisco Rodrigues JÃºnior,2023,Formal Aspects of Computing,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
89,Who Judges the Judge: An Empirical Study on Online Judge Tests,Kaibo Liu and Yudong Han and Jie M. Zhang and Zhenpeng Chen and Federica Sarro and Mark Harman and Gang Huang and Yun Ma,2023,ISSTA 2023 - Proceedings of the 32nd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,INCLUDE,
90,Beyond Accuracy: An Empirical Study on Unit Testing in Open-source Deep Learning Projects,Han Wang and Sijia Yu and Chunyang Chen and Burak Turhan and Xiaodong Zhu,2024,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
91,An Empirical Comparison of Pre-Trained Models of Source Code,Changan Niu and Chuanyi Li and Vincent Ng and Dongxiao Chen and Jidong Ge and Bin Luo,2023,Proceedings - International Conference on Software Engineering,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
92,GPT-3-Powered Type Error Debugging: Investigating the Use of Large Language Models for Code Repair,Francisco Ribeiro and JosÃ© Nuno Castro De MacEdo and Kanae Tsushima and Rui Abreu and JoÃ£o Saraiva,2023,"SLE 2023 - Proceedings of the 16th ACM SIGPLAN International Conference on Software Language Engineering, Co-located with: SPLASH 2023",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
93,"An Experimental Study Evaluating Cost, Adequacy, and Effectiveness of Pynguin's Test Sets",Lucca Guerino and Auri Vincenzi,2023,ACM International Conference Proceeding Series,String A + String C,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
94,Evaluating Large Language Models in Class-Level Code Generation,Xueying Du and Mingwei Liu and Kaixin Wang and Hanlin Wang and Junwei Liu and Yixuan Chen and Jiayi Feng and Chaofeng Sha and Xin Peng and Yiling Lou,2024,Proceedings - International Conference on Software Engineering,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
95,CrossCodeBench: Benchmarking Cross-Task Generalization of Source Code Models,Changan Niu and Chuanyi Li and Vincent Ng and Bin Luo,2023,Proceedings - International Conference on Software Engineering,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
96,SAC 2023: Track Editorial [IoT and Edge Computing],Hong Min and Sabur Baidya,2023,Proceedings of the ACM Symposium on Applied Computing,String A + String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
97,Automated Program Repair in the Era of Large Pre-trained Language Models,Chunqiu Steven Xia and Yuxiang Wei and Lingming Zhang,2023,Proceedings - International Conference on Software Engineering,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
98,Beyond Functional Correctness: An Exploratory Study on the Time Efficiency of Programming Assignments,Yida Tao and Wenyan Chen and Qingyang Ye and Yao Zhao,2024,Proceedings - International Conference on Software Engineering,String A + String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
99,Natural Symbolic Execution-Based Testing for Big Data Analytics,Yaoxuan Wu and Ahmad Humayun and Muhammad Ali Gulzar and Miryung Kim,2024,Proceedings of the ACM on Software Engineering,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
100,Code-Aware Prompting: A Study of Coverage-Guided Test Generation in Regression Setting using LLM,Gabriel Ryan and Siddhartha Jain and Mingyue Shang and Shiqi Wang and Xiaofei Ma and Murali Krishna Ramanathan and Baishakhi Ray,2024,Proceedings of the ACM on Software Engineering,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
101,Automatic Repair of Quantum Programs via Unitary Operation,Yuechen Li and Hanyu Pei and Linzhi Huang and Beibei Yin and Kai Yuan Cai,2024,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
102,AI-Assisted User Intent Formalization for Programs: Problem and Applications (Invited Talk),Shuvendu K. Lahiri,2024,Association for Computing Machinery (ACM),String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
103,An Empirical Study on How Large Language Models Impact Software Testing Learning,Simone Mezzaro and Alessio Gambi and Gordon Fraser,2024,ACM International Conference Proceeding Series,String A,INCLUDE,
104,Can Large Language Models Transform Natural Language Intent into Formal Method Postconditions?,Madeline Endres and Sarah Fakhoury and Saikat Chakraborty and Shuvendu K. Lahiri,2024,Proceedings of the ACM on Software Engineering,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
105,Faster Feedback with AI? A Test Prioritization Study,Toni Mattis and Lukas BÃ¶hme and Eva Krebs and Martin C. Rinard and Robert Hirschfeld,2024,"Programming Companion 2024 - Proceedings of the 8th International Conference on on the Art, Science, and Engineering of Programming",String A + String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
106,Mutation Testing for Task-Oriented Chatbots,Pablo GÃ³mez-Abajo and Sara PÃ©rez-Soler and Pablo C. CaÃ±izares and Esther Guerra and Juan De Lara,2024,ACM International Conference Proceeding Series,String A + String C,INCLUDE,
107,Learning to Detect and Localize Multilingual Bugs,Haoran Yang and Yu Nong and Tao Zhang and Xiapu Luo and Haipeng Cai,2024,Proceedings of the ACM on Software Engineering,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
108,Unprecedented Code Change Automation: The Fusion of LLMs and Transformation by Example,Malinda Dilhara and Abhiram Bellur and Timofey Bryksin and Danny Dig,2024,Proceedings of the ACM on Software Engineering,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
109,Syntest-JavaScript: Automated Unit-Level Test Case Generation for JavaScript,Mitchell Olsthoorn and Dimitri Stallenberg and Annibale Panichella,2024,"Proceedings - 2024 IEEE/ACM International Workshop on Search-Based and Fuzz Testing, SBFT 2024",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
110,Mutation-based consistency testing for evaluating the code understanding capability of llms,Ziyu Li and Donghwan Shin,2024,"Proceedings - 2024 IEEE/ACM 3rd International Conference on AI Engineering - Software Engineering for AI, CAIN 2024",String A,INCLUDE,
111,Syntax Is All You Need: A Universal-Language Approach to Mutant Generation,Sourav Deb and Kush Jain and Rijnard van Tonder and Claire Le Goues and Alex Groce,2024,Proceedings of the ACM on Software Engineering,String A + String C,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
112,DeciX: Explain Deep Learning Based Code Generation Applications,Simin Chen and Zexin Li and Wei Yang and Cong Liu,2024,Proceedings of the ACM on Software Engineering,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
113,NaturalFuzz: Natural Input Generation for Big Data Analytics,Ahmad Humayun and Yaoxuan Wu and Miryung Kim and Muhammad Ali Gulzar,2023,"Proceedings - 2023 38th IEEE/ACM International Conference on Automated Software Engineering, ASE 2023",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
114,Engaging Developers in Exploratory Unit Testing through Gamification,Philipp Straubinger and Gordon Fraser,2024,"Gamify 2024 - Proceedings of the 3rd ACM International Workshop on Gamification in Software Development, Verification, and Validation, Co-located with: ISSTA 2024",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
115,Benchmarking Automated Program Repair: An Extensive Study on Both Real-World and Artificial Bugs,Yicheng Ouyang and Jun Yang and Lingming Zhang,2024,ISSTA 2024 - Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,INCLUDE,
116,Large Language Models for Equivalent Mutant Detection: How Far Are We?,Zhao Tian and Honglin Shu and Dong Wang and Xuejie Cao and Yasutaka Kamei and Junjie Chen,2024,ISSTA 2024 - Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,INCLUDE,
117,Using Deep Learning to Automatically Improve Code Readability,Antonio Vitale and Valentina Piantadosi and Simone Scalabrino and Rocco Oliveto,2023,"Proceedings - 2023 38th IEEE/ACM International Conference on Automated Software Engineering, ASE 2023",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
118,"To Share, or Not to Share: Exploring Test-Case Reusability in Fork Ecosystems",Mukelabai Mukelabai and Christoph Derks and Jacob KrÃ¼ger and Thorsten Berger,2023,"Proceedings - 2023 38th IEEE/ACM International Conference on Automated Software Engineering, ASE 2023",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
119,Domain Adaptation for Code Model-Based Unit Test Case Generation,Jiho Shin and Sepehr Hashtroudi and Hadi Hemmati and Song Wang,2024,ISSTA 2024 - Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A + String C,INCLUDE,
120,Learning the Effects of Software Changes,Laura Plein,2024,ISSTA 2024 - Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
121,Gamma: Revisiting Template-Based Automated Program Repair Via Mask Prediction,Quanjun Zhang and Chunrong Fang and Tongke Zhang and Bowen Yu and Weisong Sun and Zhenyu Chen,2023,"Proceedings - 2023 38th IEEE/ACM International Conference on Automated Software Engineering, ASE 2023",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
122,CAT-LM Training Language Models on Aligned Code And Tests,Nikitha Rao and Kush Jain and Uri Alon and Claire Le Goues and Vincent J. Hellendoorn,2023,"Proceedings - 2023 38th IEEE/ACM International Conference on Automated Software Engineering, ASE 2023",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
123,ExpressAPR: Efficient Patch Validation for Java Automated Program Repair Systems,Yuan An Xiao and Chenyang Yang and Bo Wang and Yingfei Xiong,2023,"Proceedings - 2023 38th IEEE/ACM International Conference on Automated Software Engineering, ASE 2023",String A,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
124,Semantic Conformance Testing of Relational DBMS,Shuang Liu and Chenglin Tian and Jun Sun and Ruifeng Wang and Wei Lu and Yongxin Zhao and Yinxing Xue and Junjie Wang and Xiaoyong Du,2025,Proceedings of the VLDB Endowment,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
125,Fuzzing for CPS Mutation Testing,Jaekwon Lee and Enrico ViganÃ² and Oscar Cornejo and Fabrizio Pastore and Lionel Briand,2023,"Proceedings - 2023 38th IEEE/ACM International Conference on Automated Software Engineering, ASE 2023",String A,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
126,MR-Adopt: Automatic Deduction of Input Transformation Function for Metamorphic Testing,Congying Xu and Songqiang Chen and Jiarong Wu and Shing Chi Cheung and Valerio Terragni and Hengcheng Zhu and Jialun Cao,2024,"Proceedings - 2024 39th ACM/IEEE International Conference on Automated Software Engineering, ASE 2024",String A,INCLUDE,
127,Regression mutation testing,Lingming Zhang and Darko Marinov and Lu Zhang and Sarfraz Khurshid,2012,Association for Computing Machinery (ACM),String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
128,Test-case generation for embedded simulink via formal concept analysis,Nannan He and Philipp RÃ¼mmer and Daniel Kroening,2011,Proceedings - Design Automation Conference,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
129,Is mutation an appropriate tool for testing experiments?,J. H. Andrews and L. C. Briand and Y. Labiche,2005,"Proceedings - 27th International Conference on Software Engineering, ICSE05",String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
130,Using fault history to improve mutation reduction,Laura Inozemtseva and Hadi Hemmati and Reid Holmes,2013,"2013 9th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering, ESEC/FSE 2013 - Proceedings",String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
131,Selective mutation testing for concurrent code,Milos Gligoric and Lingming Zhang and Cristiano Pereira and Gilles Pokam,2013,"2013 International Symposium on Software Testing and Analysis, ISSTA 2013 - Proceedings",String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
132,The major mutation framework: Efficient and scalable mutation analysis for Java,RenÃ© Just,2014,"2014 International Symposium on Software Testing and Analysis, ISSTA 2014 - Proceedings",String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
133,Effective fault localization via mutation analysis: A selective mutation approach,Mike Papadakis and Yves Le Traon,2014,Proceedings of the ACM Symposium on Applied Computing,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
134,Assessing Effectiveness of Test Suites: What Do We Know and What Should We Do?,Peng Zhang and Yang Wang and Xutong Liu and Zeyu Lu and Yibiao Yang and Yanhui Li and Lin Chen and Ziyuan Wang and Chang Ai Sun and Xiao Yu and Yuming Zhou,2024,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
135,Threats to the validity of mutation-based test assessment,Mike Papadakis and Christopher Henard and Mark Harman and Yue Jia and Yves Le Traon,2016,ISSTA 2016 - Proceedings of the 25th International Symposium on Software Testing and Analysis,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
136,Predictive mutation testing,Jie Zhang and Ziyi Wang and Lingming Zhang and Dan Hao and Lei Zang and Shiyang Cheng and Lu Zhang,2016,ISSTA 2016 - Proceedings of the 25th International Symposium on Software Testing and Analysis,String B,EXCLUDE,IC2 â€” xuáº¥t báº£n trÆ°á»›c 2018
137,Investigating Coverage Guided Fuzzing with Mutation Testing,Ruixiang Qian and Quanjun Zhang and Chunrong Fang and Lihua Guo,2022,ACM International Conference Proceeding Series,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
