ID,Title,Author,Venue,SearchString,,,,,,,,,,,
1,A Comprehensive Study on Large Language Models for Mutation Testing,"Wang, Bo; Chen, Mingda; Deng, Ming; Lin, Youfang; Harman, Mark; Papadakis, Mike; Zhang, Jie M.",ACM Transactions on Software Engineering and Methodology,String A,,,,,,,,,,,
2,Boosting LLMs for Mutation Generation,"Wang, Bo; Deng, Ming; Chen, Mingda; Yang, Chengran; Lin, Youfang; Harman, Mark; Papadakis, Mike; Zhang, Jie M.",,String A,,,,,,,,,,,
3,Mutation-guided unit test generation with a large language model,"Wang, Guancheng; Xu, Qinghua; Briand, Lionel; Liu, Kui",IEEE Transactions on Software Engineering,String A,,,,,,,,,,,
4,TestAgentX: Leveraging Large Language Models and Reinforcement Learning for Scalable and Adaptive Software Testing,"Ashwitha, A.; Naresh, E.","2026 International Conference on Next-Gen Quantum and Advanced Computing: Algorithms, Security, and Beyond (NQComp)",String A,,,,,,,,,,,
5,Test vs Mutant: Adversarial LLM Agents for Robust Unit Test Generation,"Chang, Pengyu; Fang, Yixiong; Chen, Silin; Shi, Yuling; Shen, Beijun; Gu, Xiaodong",,String A,,,,,,,,,,,
6,GEM: A Framework for Strengthening LLM-Generated Unit Tests Using Mutation Feedback,"Celik, Arda; Mahmoud, Qusay H.",Congresso Ibero-Americano em Engenharia de Software (CIbSE),String A,,,,,,,,,,,
7,SWE-Mutation: Can LLMs Generate Reliable Test Suites in Software Engineering?,"Sun, Yuxuan; Zhao, Yuze; Wang, Yufeng; Du, Yao; Ma, Zhiyuan; Wang, Jinbo; Zhang, Mengdi; Zhang, Kai; Huang, Zhenya",,String A,,,,,,,,,,,
8,GEM-LLM: Identifying contextual equivalent mutants via large language models; A global invariant-based approach,"Tanhaei, Mohammad; Alizadehsani, Roohallah",Intelligent Systems with Applications,String A,,,,,,,,,,,
9,PITMuS: A Tool for Automated Bug Dataset Generation via Source-Level Mutant Reconstruction,"Tasnim, Tasfia; Hossain, Soneya Binta",,String A,,,,,,,,,,,
10,A Proposed Model for Test Coverage Optimisation Using AI,"Thirukandiyur, Lakshmi Sravanya",Available at SSRN 6537638,String A,,,,,,,,,,,
11,Evaluating LLM-Based Test Generation Under Software Evolution,"Haroon, Sabaat; Khan, Mohammad Taha; Gulzar, Muhammad Ali",arXiv preprint arXiv:2603.23443,String A,,,,,,,,,,,
12,Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,"Zhang, Junwei; Hu, Xing; Gao, Cuiyun; Xia, Xin; Li, Shanping",ACM Transactions on Software Engineering and Methodology,String A,,,,,,,,,,,
13,Artificial Intelligence in Software Testing and Beyond: A Review of Current Practices and Emerging Challenges,"Lisaru, Codrina-Victoria; Kifor, Claudiu-Vasile",Acta Informatica Pragensia,String A,,,,,,,,,,,
14,SecMutBench: Evaluating LLM-Generated Security Tests via Mutation-Based Vulnerability Detection,"ALMutairi, Mariam",,String A,,,,,,,,,,,
15,MuMuTestUp: Mutation-based Multi-Agent Test Case Update,"Tian, Dawei; Liu, Jiakun; Peng, Yun; Zhang, Yichen; Chi, Jianlei; Sun, Jun; Su, Xiaohong",arXiv preprint arXiv:2605.19265,String A,,,,,,,,,,,
16,Test case generation using large language models: a systematic literature review,"Tasarsu, Murat; Tokmak, Ahmet Vedat; Catal, Cagatay",Cluster Computing,String A,,,,,,,,,,,
17,Evaluating the Effectiveness of LLM-Generated Unit Tests in the Context of Industrial DBMS,"Bekmyradov, Vekilmuhammet",,String A,,,,,,,,,,,
18,Improving the Quality of GitHub Copilot Generated Unit Tests,"Schallermayer, Max; Schnappinger, Markus",Software Architecture as the Backbone of Software Quality,String A,,,,,,,,,,,
19,Improving Random Test Generation via AI-Generated Seed Sequences,"Zangaria, Mohammad; Awad, Aiman",,String A,,,,,,,,,,,
20,Evaluating the Complex Reasoning and Performance Capabilities of Large Language Models for Test Case Generation: A Learning-Based Software Testing Suite for Benchmarking Generative AI in Automated Test Case Generation,"Bala Mahalingam, Vijay; Parthasarathy, Harish; Baskaran, Aakash; Chandrasekaran, Bharath; Rajeshkumar, Muthukrishnan",Proceedings of the 2026 10th International Conference on Control Engineering and Artificial Intelligence,String A,,,,,,,,,,,
21,A quantized LLM driven framework for automated software testing,"Ahmed, Rashed",,String A,,,,,,,,,,,
22,"Methodological pitfalls in predictive mutation testing: threats, impact and open challenges","Delgado-Pérez, Pedro; Balderas-Díaz, Sara; Medina-Bulo, Inmaculada; Guerrero-Contreras, Gabriel",Automated Software Engineering,String A,,,,,,,,,,,
23,Automatic Generation and Evaluation of Programming Questions from Source Code,"Alshboul, Jawad Ahmad Qasem",,String A,,,,,,,,,,,
24,Generative AI in Software Testing: Current Trends and Future Directions,"Singla, Tanish; Mahmoud, Qusay H.",arXiv preprint arXiv:2603.02141,String A,,,,,,,,,,,
25,Prompt engineering in LLMs for automated unit test generation: A large-scale study,"Ouédraogo, Wendkûuni C.; Kaboré, Abdoul Kader; Li, Yinghua; Tian, Haoye; Koyuncu, Anil; Klein, Jacques; Lo, David; Bissyandé, Tegawendé F.",Empirical Software Engineering,String A,,,,,,,,,,,
26,AutoJML: Generation and Verification of JML Specifications Using LLM Agents,"Ayon, Ragib Shahariar; Ahmed, Shibbir",IEEE pulse,String A,,,,,,,,,,,
27,Beyond Coverage: Automatic Test Suite Augmentation for Enhanced Effectiveness using Large Language Models,"Lu, Zeyu; Zhang, Peng; Nie, Yuge; Yang, Yibiao; Tang, Yutian; Chong, Chun Yong; Zhou, Yuming",Proceedings of the ACM on Programming Languages,String A,,,,,,,,,,,
28,INTEGRATION OF ARTIFICIAL IN℡LIGENCE TOOLS INTO AUTOMATED SOFTWARE TESTING: INCREASING ACCURACY AND EFFICIENCY,"Zadorozhnii, A. V.",ВЧЕНІ ЗАПИСКИ,String A,,,,,,,,,,,
29,Exploring the Potential of Large Language Models in Simulink-Stateflow Mutant Generation,"Valle, Pablo; Ali, Shaukat; Arrieta, Aitor",arXiv preprint arXiv:2602.04066,String A,,,,,,,,,,,
30,"Adaptive and AI-Augmented Security Testing: A Systematic Survey of Program Analysis, Feedback-Driven Testing, and Hybrid Learning-Based Approaches","Wienczkowski, Michael",arXiv preprint arXiv:2604.27000,String A,,,,,,,,,,,
31,"Automated and Effective Metamorphic Testing: Relation Discovery, Deduction, and Generation","Xu, Congying",,String A,,,,,,,,,,,
32,AI-Driven Software Development: A New Course Concept and Assessment Model for the Era of Large Language Models,"Fein, Benedikt; Fraser, Gordon; Herbold, Steffen",International Conference on Software Engineering–Software Engineering Education Track (ICSE-SEET),String A,,,,,,,,,,,
33,PR-Aware Automated Unit Test Generation: Challenges and Opportunities,"Haratian, Vahid; Akar, Atakan; Çakar, Berk; Tüzün, Eray",arXiv preprint arXiv:2605.25285,String A,,,,,,,,,,,
34,Impact of code context and prompting strategies on automated unit test generation with modern general-purpose large language models,"Walczak, Jakub; Tomalak, Piotr; Laskowski, Artur",Journal of Systems and Software,String A,,,,,,,,,,,
35,PreventativeTestPro: A Scalable Hybrid Testing Framework Utilizing Observability and Generative AI for Proactive Software Quality Engineering,"Patel, Soham; Patil, Kailas; Meshram, Vishal; Chumchu, Prawit",JoVE (Journal of Visualized Experiments),String A,,,,,,,,,,,
36,"Python Unit Tests Generation: A comparative Study on Claude Code, Cursor, GitHub Copilot and Amazon Q","Hassan, Moavia; Liu, Zhengli; Wang, Bangchao; Li, Bing; Wang, Jian","Cursor, GitHub Copilot and Amazon Q",String A,,,,,,,,,,,
37,A semantic mutation metric for metamorphic relation adequacy in scientific computing programs,"Li, Meng; Yang, Xiaohua; Liu, Jie; Yan, Shiyu",arXiv preprint arXiv:2605.17437,String A,,,,,,,,,,,
38,Impact Assessment of Structured Results for the Reliability of LLM-generated Tests,"Zapkus, Dovydas Marius; Slotkienė, Asta","2026 Open Conference of Electrical, Electronic and Information Sciences (eStream)",String A,,,,,,,,,,,
39,Fuzzing with Agents? Generators Are All You Need,"Vikram, Vasudev; Padhye, Rohan",arXiv preprint arXiv:2604.01442,String A,,,,,,,,,,,
40,Reliable Automatic Software Bug Fixing with Large Language Models: Challenges and Solutions,"Le, Cong Thanh",,String A,,,,,,,,,,,
41,Automated test plan generation using large language models,"Haldar, Susmita; Capretz, Luiz Fernando",Software Quality Journal,String A,,,,,,,,,,,
42,Learning compiler fuzzing mutators from historical bugs,"Liu, Lingjun; Qin, F.; Legunsen, Owolabi; d'Amorim, A.",,String A,,,,,,,,,,,
43,Natural language processing metrics efficiency for evaluating a generated code: facing the challenge,"Fedrushkov, Dmitriy V.; Kovalchuk, Sergey V.; Aliev, Artem A.","Научно-технический вестник информационных технологий, механики и оптики",String A,,,,,,,,,,,
44,An Efficient Deep Path Coverage-Based Approach for Automated Software Structural Testing,"Arasteh, Bahman; Sheshgelani, Mohammadali Ipchi; Kusetogullari, Huseyin",Symmetry,String A,,,,,,,,,,,
45,Automated Software Test Generation at Industry Scale Using a Multi-Agent Architecture and Workflow Integration,"Rastenis, Matas; Chou, Ben; Choudhary, Shauvik Roy; Just, René",,String A,,,,,,,,,,,
46,Boosting Test Generation in Industrial Codebases: A Comparative Study of Base and Fine-Tuned LLMs,"Ahmad, Azeem; Naeem, Muhammad Rashid",IEEE Access,String A,,,,,,,,,,,
47,Innovating proficiency testing in software: a digital process with LLM-integrated support tool and automated indicators,"Dallilo, Felipe; Souza, Simone; Delamaro, Márcio",Software Quality Journal,String A,,,,,,,,,,,
48,A Logic-Guided and Explainable Approach to LLM-Based Unit Test Generation,"Zeng, Cong; Li, Meng; Liu, Fei; Yang, Xiaohua; Liu, Jie; Yan, Shiyu",Applied Sciences,String A,,,,,,,,,,,
49,How well LLM-based test generation techniques perform with newer LLM versions?,"Konstantinou, Michael; Degiovanni, Renzo; Papadakis, Mike",arXiv preprint arXiv:2601.09695,String A,,,,,,,,,,,
50,TAM-Eval: Evaluating LLMs for Automated Unit Test Maintenance,"Bruches, Elena; Alperovich, Vadim; Baturova, Dari; Derunets, Roman; Grebenkin, Daniil; Mkrtchyan, Georgy; Sedukhin, Oleg; Klementev, Mikhail; Bondarenko, Ivan; Bushkov, Nikolay",arXiv preprint arXiv:2601.18241,String A,,,,,,,,,,,
51,Just-In-Time Quality Assurance with Assistance of Automated Defect Prediction and Code Testing,"Tian, Dawei; Song, Liyan; Su, Xiaohong",ACM Transactions on Software Engineering and Methodology,String A,,,,,,,,,,,
52,Test-Driven AI Agent Definition (TDAD): Compiling Tool-Using Agents from Behavioral Specifications,"Rehan, Tzafrir",arXiv preprint arXiv:2603.08806,String A,,,,,,,,,,,
53,SAGE: Specification-Aware Grammar Extraction for Automated Test Case Generation with LLMs,"Aditi, Aditi; Park, Hyunwoo; Sung, Sicheol; Han, Yo-Sub; Ko, Sang-Ki",Available at SSRN 6672672,String A,,,,,,,,,,,
54,Knowledge Matters: Injecting Project and Testing Knowledge into LLM-based Unit Test Generation,"Li, Anji; Liu, Mingwei; Chen, Zhenxi; Pei, Zheng; Li, Zike; Dai, Dekun; Wang, Yanlin; Zheng, Zibin",,String A,,,,,,,,,,,
55,"DevBench: A Realistic, Developer-Informed Benchmark for Code Generation Models","Golnari, Pareesa Ameneh; Kumarappan, Adarsh; Wen, Wen; Liu, Xiaoyu; Ryan, Gabriel; Sun, Yuting; Fu, Shengyu; Nallipogu, Elsie",arXiv preprint arXiv:2601.11895,String A,,,,,,,,,,,
56,Advancing Code Coverage: Incorporating Program Analysis with Large Language Models,"Yang, Chen; Chen, Junjie; Lin, Bin; Wang, Ziqi; Zhou, Jianyi",ACM Transactions on Software Engineering and Methodology,String A,,,,,,,,,,,
57,"Have model transformation languages failed?: On the rise, fall and revival of model transformation languages","De Lara, Juan; Guerra, Esther; Cuadrado, Jesús Sánchez",Software and Systems Modeling,String A,,,,,,,,,,,
58,Evaluating LLM-Based Regression Test Generation,"LIU, JING; LEE, SEONGMIN; LOSIOUK, ELEONORA; BÖHME, MARCEL",,String A,,,,,,,,,,,
59,Automatic Generation of Formal Specification and Verification Annotations Using LLMs and Test Oracles,"Faria, João Pascoal; Trigo, Emanuel; Honorato, Vinicius; Abreu, Rui",arXiv preprint arXiv:2601.12845,String A,,,,,,,,,,,
60,Operational Robustness of LLMs on Code Generation,"Paul, Debalina Ghosh; Zhu, Hong; Bayley, Ian",arXiv preprint arXiv:2602.18800,String A,,,,,,,,,,,
61,Mutation Testing for Assessing RAG Pipeline Reliability: The System Prompt as the Primary Grounding Mechanism,"Momtaz, Yahya; Brescia, Massimo; Ettari, Adriano",,String A,,,,,,,,,,,
62,"Foundation Models in Software Engineering: A Taxonomy, Systematic Review, and In-Depth Analysis of Testing Support","Banitaan, Shadi; Daoud, Mohammad; Alquran, Hebah; Akour, Mohammad",Information,String A,,,,,,,,,,,
63,RM-RF: Reward Model for Run-Free Unit Test Evaluation,"Bruches, Elena; Grebenkin, Daniil; Klementev, Mikhail; Alperovich, Vadim; Derunets, Roman; Baturova, Dari; Mkrtchyan, Georgy; Sedukhin, Oleg; Bondarenko, Ivan; Bushkov, Nikolay",arXiv preprint arXiv:2601.13097,String A,,,,,,,,,,,
64,An Empirical Study on Pragmatic Unit Test Generation with Large Language Models,"Lan, Tian; Xue, Kaiyuan; Duan, Ruyuan; Sun, Meng",,String A,,,,,,,,,,,
65,Hybrid Fault-Driven Mutation Testing for Python,"Alimadadi, Saba; Gharachorlu, Golnaz",arXiv preprint arXiv:2601.19088,String A,,,,,,,,,,,
66,Generative AI-Assisted Framework for Secure and Autonomous Software Development Lifecycle Optimization,"Srinivas, Pattlola; Mohammad, Addul Rahmath; Neelima, T.; Kundiladi, Mohammed Shafi; Ramamoorthy, Selvamurugan; Katta, Sivakoteswararao",2026 6th International Conference on Image Processing and Capsule Networks (ICIPCN),String A,,,,,,,,,,,
67,Improving LLM-Driven Test Generation by Learning from Mocking Information,"Lee, Jamie; Teh, Flynn; Zhu, Hengcheng; Li, Mengzhen; Fazzini, Mattia; Terragni, Valerio",arXiv preprint arXiv:2604.19315,String A,,,,,,,,,,,
68,SPARC: Scenario Planning and Reasoning for Automated C Unit Test Generation,"Chowdhury, Jaid Monwar; Fu, Chi-An; Jabbarvand, Reyhaneh",arXiv preprint arXiv:2602.16671,String A,,,,,,,,,,,
69,Generalizing Test Cases for Comprehensive Test Scenario Coverage,"Qi, Binhang; Lin, Yun; Weng, Xinyi; Liu, Chenyan; Sun, Hailong; Fraser, Gordon; Dong, Jin Song",arXiv preprint arXiv:2604.21771,String A,,,,,,,,,,,
70,AutoReSpec: A Framework for Generating Specification using Large Language Models,"Ayon, Ragib Shahariar; Ahmed, Shibbir",arXiv preprint arXiv:2604.03758,String A,,,,,,,,,,,
71,Less Is More: Failing Test Generation with Large Language Models,"Li, Tsz-On; Yan, Xiaochuan; Zong, Wenxi; Wang, Yibo; Tian, Haoye; Xu, Congying; Wang, Ying; Cheung, Shing-Chi; Kramer, Jeff",ACM Transactions on Software Engineering and Methodology,String A,,,,,,,,,,,
72,Proactive Multi-Agent Systems for Autonomous Code Generation and Software Maintenance,"Elsayed, Saher; Abubaker, Samer; Ali, Mohamed; Elbtity, Mohammed",,String A,,,,,,,,,,,
73,An Automated Methodology for Generating Labeled Datasets of Semantic Errors in Code,"Kassem, Mahmoud; Ribeiro, Francisco; Nadi, Sarah",,String A,,,,,,,,,,,
74,CONCUR: Benchmarking LLMs for Concurrent Code Generation,"Huang, Jue; Mahmud, Tarek; Pasareanu, Corina; Yang, Guowei",,String A,,,,,,,,,,,
75,Automated Test Suite Enhancement Using Large Language Models with Few-shot Prompting,"Chudic, Alex; Çalıklı, Gül",,String A,,,,,,,,,,,
76,RESTestBench: A Benchmark for Evaluating the Effectiveness of LLM-Generated REST API Test Cases from NL Requirements,"Kogler, Leon; Hangler, Stefan; Ehrhart, Maximilian; Dornauer, Benedikt; Wuersching, Roland; Schrammel, Peter",,String A,,,,,,,,,,,
77,Mutation based improvement of security test case quality for broken access control,"Abdurrasyid; Asnar, Yudistira; Ayu Putri Saptawati, Gusti",Journal on Information Security,String A,,,,,,,,,,,
78,Fuzzing-based mutation testing of C/C++ software in cyber-physical systems,"Lee, Jaekwon; Pastore, Fabrizio; Briand, Lionel",Empirical Software Engineering,String A,,,,,,,,,,,
79,ScratchEval : A Multimodal Evaluation Framework for LLMs in Block-Based Programming,"Si, Yuan; Han, Simeng; Li, Daming; Shi, Hanyuan; Zhang, Jialu",,String A,,,,,,,,,,,
80,A Survey on Large Language Models for Code Generation,"Jiang, Juyong; Wang, Fan; Shen, Jiasi; Kim, Sungju; Kim, Sunghun",ACM Transactions on Software Engineering and Methodology,String A,,,,,,,,,,,
81,On-demand generation of high-quality software engineering datasets using large language models and ontologies,"Bishop, George; Chakraborty, Suranjan; Zhou, Honghe; Dehlinger, Josh; Deng, Lin; Lin, Jonah; Kist, Benjamin",Automated Software Engineering,String A,,,,,,,,,,,
82,A Declarative Framework for Hand-Crafted Mutation Analysis and Management,"Keles, Alperen",,String A,,,,,,,,,,,
83,AI-Powered Defect Prediction: From Code Smells to Failure Forecasting,"Rahman, Md Mostafizur; Gony, Md Najmul; SD, Maria Khatun Shuvra; Rahman, Md Mashfiquer; Hossain, Mohammad Shahadat",International Journal of Communication Networks and Information Security,String A,,,,,,,,,,,
84,SPELL: Synthesis of Programmatic Edits using LLMs,"Ramos, Daniel; Gamboa, Catarina; Lynce, Inês; Manquinho, Vasco; Martins, Ruben; Goues, Claire Le",,String A,,,,,,,,,,,
85,Toward Automated Validation of Language Model Synthesized Test Cases using Semantic Entropy,"Taherkhani, Hamed; Shin, Jiho; Tahir, Muhammad Ammar; Misu, Md Rakib Hossain; Gattani, Vineet Sunil; Hemmati, Hadi",IEEE Transactions on Software Engineering,String A,,,,,,,,,,,
86,Benchmarking AI Models for Automated Code Generation and Testing Using HumanEval,"Manzoor, Maria; Rehman, Mujeeb Ur; Kazim, Muhammad; Deka, Lipika; Khattak, Aizaz Ahmad; Usmani, Irfan Ahmed",2026 Global Conference on Wireless and Optical Technologies (GCWOT),String A,,,,,,,,,,,
87,An LLM-Powered API Testing Framework Based on Structural Similarity Analysis,"Sezgin, Anıl; Kocatekin, Tuğberk; Yağcıoğlu, Mert",2026 14th International Symposium on Digital Forensics and Security (ISDFS),String A,,,,,,,,,,,
88,POSTCONDBENCH: Benchmarking Correctness and Completeness in Formal Postcondition Inference,"Zhang, Gehao; Zhai, Juan",,String A,,,,,,,,,,,
89,TOGBench: A Developer-Written Multi-Variant Dataset and Benchmark Suite for Test Oracle Generation,"Tasnim, Tasfia; Dwyer, Matthew B.; Hossain, Soneya Binta",,String A,,,,,,,,,,,
90,Exploring Code Analysis: Zero-Shot Insights on Syntax and Semantics with LLMs,"Ma, Wei; Lin, Zhihao; Liu, Shangqing; Hu, Qiang; Liu, Ye; Wang, Wenhan; Zhang, Cen; Nie, Liming; Li, Li; Liu, Yang; Jiang, Lingxiao",ACM Transactions on Software Engineering and Methodology,String A,,,,,,,,,,,
91,"<span style=""font-variant:small-caps;"">CITYWALK</span> : Enhancing LLM-Based C++ Unit Test Generation via Project-Dependency Awareness and Language-Specific Knowledge","Zhang, Yuwei; Lu, Qingyuan; Liu, Kai; Dou, Wensheng; Zhu, Jiaxin; Qian, Li; Zhang, Chunxi; Lin, Zheng; Wei, Jun",ACM Transactions on Software Engineering and Methodology,String A,,,,,,,,,,,
92,A Survey of Code Review Benchmarks and Evaluation Practices in Pre-LLM and LLM Era,"Khan, Taufiqul Islam; Wang, Shaowei; Zhang, Haoxiang; Chen, Tse-Hsun",,String A,,,,,,,,,,,
93,"Conformance, Cost, and Replication in Constrained LLM Coding Agents","Rocchi, Alessio",Available at SSRN 6751519,String A,,,,,,,,,,,
94,SpecSyn: LLM-based Synthesis and Refinement of Formal Specifications for Real-world Program Verification,"Ma, Lezhi; Liu, Shangqing; Li, Yi; Wu, Qiong; Wang, Han; Bu, Lei",,String A,,,,,,,,,,,
95,Synthesizing File-Level Data for Unit Test Generation with Chain-of-Thoughts via Self-Debugging,"Hua, Ziyue; Chen, Tianyu; Gong, Yeyun; Lu, Shuai; Cheng, Peng; Zhu, Qinglin; He, Yibo; Fu, Yingjie; Jiao, Wenpin; Yang, Wei; Xie, Tao",,String A,,,,,,,,,,,
96,VeriAct: Beyond Verifiability -- Agentic Synthesis of Correct and Complete Formal Specifications,"Misu, Md Rakib Hossain; Ma, Iris; Lopes, Cristina V.",,String A,,,,,,,,,,,
97,FlyCatcher: Neural Inference of Runtime Checkers from Tests,"Souza, Beatriz; Lou, Chang; Nath, Suman; Pradel, Michael",,String A,,,,,,,,,,,
98,"Edit, But Verify: An Empirical Audit of Instructed Code-Editing Benchmarks","Ebrahimi, Amir M.; Rajbahadur, Gopi Krishnan",,String A,,,,,,,,,,,
99,Delta Debugging for LLM-integrated Systems,"Zhu, Hao-Nan; Mansur, Muhammad Numair; Schäf, Martin; Chen, Zeya; Lepoint, Tancrède; Visser, Willem",,String A,,,,,,,,,,,
100,"LLM-Based Unit Test Cases Generation for React, Vue, and Angular Components","Wimalagunasekara, Geenoth; Vasanthapriyan, Shanmuganathan",2026 6th International Conference on Advanced Research in Computing (ICARC),String A,,,,,,,,,,,
101,Beyond Superficial Tests: Adversarial Refinement for Reliable Property-Based Testing,"Li, Xiao; Liu, Runlin; Zhang, Zhe; Gao, Xiang; Sun, Hailong",,String A,,,,,,,,,,,
102,"SecureRAG-RTL: A Retrieval-Augmented, Multi-Agent, Zero-Shot LLM-Driven Framework for Hardware Vulnerability Detection","Hasan, Touseef; Airehenbuwa, Blessing; Pundir, Nitin; Sarkar, Souvika; Guin, Ujjwal",,String A,,,,,,,,,,,
103,LLM-Based Exploratory Testing Charter Generation: A Framework and Empirical Evaluation,"Surti, Arbaz",,String A,,,,,,,,,,,
104,LLM-based Generation of Semantically Diverse and Realistic Domain Model Instances,"Coman, Andrei; Burgueño, Lola; Bork, Dominik; Wimmer, Manuel",,String A,,,,,,,,,,,
105,Just-in-Time Catching Test Generation at Meta,"Becker, Matthew; Chen, Yifei; Cochran, Nicholas; Ghasemi, Pouyan; Gulati, Abhishek; Harman, Mark; Haluza, Zachary; Honarkhah, Mehrdad; Robert, Herve; Liu, Jiacheng; Liu, Weini; Thummala, Sreeja; Yang, Xiaoning; Xin, Rui; Zeng, Sophie",,String A,,,,,,,,,,,
106,The new compiler stack: a survey on the synergy of LLMs and compilers,"Zhang, Shuoming; Zhao, Jiacheng; Yu, Qiuchu; Xia, Chunwei; Wang, Zheng; Feng, Xiaobing; Cui, Huimin",CCF Transactions on High Performance Computing,String A,,,,,,,,,,,
107,Test flimsiness: Characterizing flakiness induced by mutation to the code under test,"Parry, Owain; Kapfhammer, Gregory M.; Hilton, Michael; McMinn, Phil",Proceedings of,String A,,,,,,,,,,,
108,Fixturize: Bridging the Fixture Gap in Test Generation,"Wang, Chengyi; Xue, Pengyu; Yang, Zhen; Luo, Xiapu; Zhang, Yuxuan; Lyu, Xiran; Pei, Yifei; Jia, Zonghan; Sun, Yichen; Wu, Linhao; Zheng, Kunwu",,String A,,,,,,,,,,,
109,Containment Verification: AI Safety Guarantees Independent of Alignment,"Moon, Royce; Varshney, Lav R.",,String A,,,,,,,,,,,
110,SMATA: A Structured Mobile Application Testing Architecture Adapting Hardware Verification Principles for Mobile Testing Standardization,"Elsayed, Saher",IEEE Access,String A,,,,,,,,,,,
111,MR-Coupler: Automated Metamorphic Test Generation via Functional Coupling Analysis,"Xu, Congying; Zhu, Hengcheng; Chen, Songqiang; Wu, Jiarong; Terragni, Valerio; Cheung, Shing-Chi",,String A,,,,,,,,,,,
112,LLM-Assisted Input-Requirement-Aware Differential Testing of Array Programming Frameworks,"ZHOU, ZHICHAO; HE, JINGZHU",,String A,,,,,,,,,,,
113,SWE-ABS: Adversarial Benchmark Strengthening Exposes Inflated Success Rates on Test-based Benchmark,"Yu, Boxi; Cao, Yang; Zhang, Yuzhong; Lin, Liting; Xu, Junjielong; Zhong, Zhiqing; Xu, Qinghua; Wang, Guancheng; Cao, Jialun; Cheung, Shing-Chi; He, Pinjia; Briand, Lionel",,String A,,,,,,,,,,,
114,Foundation Models as Oracles for Refactoring Correctness Detection,"Gheyi, Rohit; Melo, Rian; Oliveira, Jonhnanthan; Ribeiro, Marcio; Fonseca, Baldoino",,String A,,,,,,,,,,,
115,Automated Unit Test Generation via Chain-of-Thought Prompt and Reinforcement Learning from Coverage Feedback,"Zhang, Junwei; Hu, Xing; Xia, Xin; Cheung, Shing-Chi; Li, Shanping",ACM Transactions on Software Engineering and Methodology,String A,,,,,,,,,,,
116,Survey on Learning-based Dynamic Fault Localization: From Traditional Machine Learning to Large Language Models,"Liu, Chunyan; Lei, Yan; Xie, Huan; Wang, Jinping; Yu, Yue; Lo, David",ACM Computing Surveys,String A,,,,,,,,,,,
117,AI-Driven Methods for RTL Debugging: Localization and Auto-Corrections of RTL Bugs “Towards Smart Debugging”,"Mohammed, Khaled",The Art of RTL Debugging,String A,,,,,,,,,,,
118,Artisan: Agentic Artifact Evaluation,"Baek, Doehyun; Pradel, Michael",,String A,,,,,,,,,,,
119,Iter-T: ITERative Test suite generation for automated program repair,"Godio, Ariel; Brida, Simón Gutiérrez; Regis, Germán; Bagheri, Hamid; Nguyen, ThanhVu; Aguirre, Nazareno; Frias, Marcelo F.",IEEE Transactions on Software Engineering,String A,,,,,,,,,,,
120,TestDecision: Sequential Test Suite Generation via Greedy Optimization and Reinforcement Learning,"Wang, Guoqing; Yang, Chengran; Zhou, Xiaoxuan; Sun, Zeyu; Wang, Bo; Lo, David; Hao, Dan",,String A,,,,,,,,,,,
121,Test automation with Selenium: A survey,"García Gutiérrez, Boni; Ricca, Filippo; Leotta, Maurizio; Muñoz Organero, Mario",,String A,,,,,,,,,,,
122,Automated Inline-Test Generation without Relying on Method-Level Unit Tests,"Jiang, Pengyue; Liu, Yu; Guo, Anna; Gligoric, Milos; Legunsen, Owolabi",,String A,,,,,,,,,,,
123,A survey on test case generation based on prompt engineering and large language models,"Cui, Hanjing; Zhao, Man; Li, Dongcheng",International Conference on AI-Generated Content (AIGC 2025),String A,,,,,,,,,,,
124,Real-World Fault Detection for C-Extended Python Projects with Automated Unit Test Generation,"Berg, Lucas; Krodinger, Lukas; Lukasczyk, Stephan; Panichella, Annibale; Fraser, Gordon; Vanhoof, Wim; Devroey, Xavier",,String A,,,,,,,,,,,
125,Can Adjusting Hyperparameters Lead to Green Deep Learning: An Empirical Study on Correlations between Hyperparameters and Energy Consumption of Deep Learning Models,"Wang, Taoran; Li, Yanhui; Ma, Mingliang; Chen, Lin; Zhou, Yuming",,String A,,,,,,,,,,,
