ID,Title,Author,Venue,SearchString,v1_decision,v1_reason,v2_decision,v2_reason
192,Impact Of Practical Learning Input On College Students’ Academic Achievement Using A Regression Analysis Study,"Zhang, Min; Yin, Lina",Journal of Applied Science and Engineering,String B,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
193,Evaluating Static Mutant Selection Techniques for Accurate Mutation Score Approximation,"Ashong, Magdalene; Laurent, Thomas; Ventresque, Anthony","2025 25th International Conference on Software Quality, Reliability and Security (QRS)",String B,Unsure,"Related because it directly studies mutant selection and mutation-score approximation with quantitative results, but the abstract focuses on static selection techniques rather than AI/ML/LLM-guided selection.",EXCLUDE,"Excluded by IC4: The paper evaluates static mutant selection techniques for mutation score approximation, but it does not apply LLM/AI-guided ranking or selection. The intervention is not LLM-based and therefore does not match the RQ."
194,Exploring pseudo-testedness: Empirically evaluating extreme mutation testing at the statement level,"Maton, Megan; Kapfhammer, Gregory M.; McMinn, Phil",2024 IEEE International Conference on Software Maintenance and Evolution (ICSME),String B,EXCLUDE,"Excluded by IC4: the paper studies extreme mutation testing and statement deletion to detect pseudo-testedness, but does not apply AI/ML/LLM or intelligent optimization.",,
195,Using Active Learning to Train Predictive Mutation Testing with Minimal Data,"Borsi, Miklós",2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),String B,INCLUDE,"Relevant: proposes active-learning-based predictive mutation testing to reduce training data and mutation testing cost, with empirical comparison against non-active-learning models.",INCLUDE,"Full text directly studies predictive mutation testing using active learning to reduce training data and mutation-testing cost, with empirical quantitative evaluation and comparison against random/other selection settings."
196,Spotting Code Mutation for Predictive Mutation Testing,"Zhao, Yifan; Chen, Yizhou; Sun, Zeyu; Liang, Qingyuan; Wang, Guoqing; Hao, Dan",Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String B,INCLUDE,"Relevant: proposes SODA, a learning-based predictive mutation testing model that predicts mutation testing results by capturing mutant-test relationships, addressing mutation testing cost.",INCLUDE,"Full text proposes a predictive mutation testing approach to spot code mutations using learning-based models, evaluates on mutation-testing benchmarks, and reports quantitative mutation-score/cost outcomes."
197,IMPROVING THE EFFECTIVENESS OF METAMORPHIC TESTING USING SYSTEMATIC TEST CASE GENERATION,"Saha, Prashanta",,String B,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
198,Enhancing software quality assurance in ubiquitous learning environments through mutation testing and diverse test oracles,"Naeem, Muhammad Rashid; Khan, Muhammad Asghar; Khan, Mansoor; Alruwaili, Omar; Alrashdi, Ibrahim; Alanazi, Saad",Computers in Human Behavior,String B,EXCLUDE,"Excluded by EC2/insufficient abstract evidence: the record indicates PDF not found, so full-text accessibility and detailed eligibility cannot be confirmed.",,
199,Latent Mutants: A large-scale study on the Interplay between mutation testing and software evolution,"Sohn, Jeongju; Soremekun, Ezekiel; Papadakis, Michail",,String B,INCLUDE,"Relevant: applies a random forest classifier to predict latent mutants using mutation operators and change-related features, with large-scale empirical results.",EXCLUDE,"Excluded by IC4 / RQ mismatch: The paper studies latent mutants and the relationship between mutation testing and software evolution. It does not propose or evaluate LLM-based mutant selection/ranking, mutant prioritization, or effort reduction compared with random mutant selection."
200,Enriching mutation testing with innovative method invocation mutation: Filling the crucial missing piece of the puzzle,"Zhang, Peng; Lu, Zeyu; Wang, Yang; Yang, Yibiao; Zhou, Yuming; Papadakis, Mike",IEEE Transactions on Software Engineering,String B,Unsure,"Related because it compares with machine-learning-based mutators and reports quantitative mutant quality and speed results, but the proposed MIN approach itself is mainly rule/mapping-based rather than clearly AI/ML/LLM-guided.",EXCLUDE,"Excluded by IC4 / RQ mismatch: The paper proposes MIN, a rule-based method-invocation mutator for generating method-call mutants. Although it compares with learning-based mutators and reports quantitative mutation-testing results, the main intervention is not LLM-based mutant ranking/selection and it does not evaluate reduction of executed mutants against random selection."
201,Mutation testing optimisations using the Clang front‐end,"Vercammen, Sten; Demeyer, Serge; Borg, Markus; Pettersson, Niklas; Hedin, Görel","Software Testing, Verification and Reliability",String B,EXCLUDE,"Excluded by IC4: the paper optimizes mutation testing compilation/execution using the Clang front-end, but does not apply AI/ML/LLM or intelligent optimization.",,
202,Mutation-Guided LLM-based Test Generation at Meta,"Harman, Mark; Ritchey, Jillian; Harper, Inna; Sengupta, Shubho; Mao, Ke; Gulati, Abhishek; Foster, Christopher; Robert, Hervé",Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String B,INCLUDE,"Relevant: describes an industrial mutation-guided LLM-based test generation system with LLM-based equivalent mutant detection and quantitative results on generated mutants, tests and precision/recall.",INCLUDE,"Full text is a peer-reviewed ACM industry paper on mutation-guided LLM-based test generation at Meta. It uses mutation feedback in an LLM workflow and reports empirical results, making it relevant to LLM + mutation-testing outcomes."
203,LEAM++: Learning for Selective Mutation Fault Construction,"Tian, Zhao; Chen, Junjie; Wang, Dong; Zhu, Qihao; Fan, Xingyu; Zhang, Lingming",ACM Transactions on Software Engineering and Methodology,String B,INCLUDE,"Relevant: proposes LEAM++, a learning-based selective mutation fault construction approach that considers testing cost and evaluates effectiveness/efficiency on Defects4J.",INCLUDE,"Full text proposes LEAM++, a learning-based approach for selective mutation fault construction, published in ACM TOSEM, and evaluates high-quality mutant construction quantitatively. It directly matches AI/ML-guided mutation testing."
204,Intent-Based Mutation Testing: From Naturally Written Programming Intents to Mutants,"Hamidi, Asma; Khanfir, Ahmed; Papadakis, Mike","2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",String B,EXCLUDE,"Excluded by IC4: the paper proposes intent-based mutation testing from programming intents, but the abstract does not show AI/ML/LLM or intelligent optimization being applied.",,
205,Next-Gen Mutation Testing: Using AI and Fuzzing to Evolve Fault Injection for Modern Software,"Kathiresan, Gopinath",Available at SSRN 5241045,String B,EXCLUDE,"Excluded by EC2/insufficient abstract evidence: the record indicates PDF not found, so the abstract/full text cannot be assessed for eligibility.",,
206,Test data generation for mutation testing based on Markov chain usage model and estimation of distribution algorithm,"Wei, Changqing; Yao, Xiangjuan; Gong, Dunwei; Liu, Huai",IEEE Transactions on Software Engineering,String B,EXCLUDE,"Excluded by EC2/insufficient abstract evidence: the record indicates PDF not found, so the abstract/full text cannot be assessed for eligibility.",,
207,SAM–Symultanic Automated Mutation System for Software Development,"Roman, Adam; Mnich, Michal",Available at SSRN 5414105,String B,EXCLUDE,EC4: Not sufficiently related to mutation testing and AI-guided mutant selection based on title.,,
208,Mutation analysis for evaluating code translation,"Guizzo, Giovani; Zhang, Jie M.; Sarro, Federica; Treude, Christoph; Harman, Mark",Empirical Software Engineering,String B,EXCLUDE,EC4: Mutation is used in a different context and the title does not indicate AI-guided mutant selection/ranking for Java projects.,,
209,Mutation Testing Reinvented: How Artificial Intelligence Complements Classic Methods,"Uzunbayir, Serhat; Kurtel, Kaan",2024 9th International Conference on Computer Science and Engineering (UBMK),String B,EXCLUDE,Excluded by IC5: the abstract appears to be a conceptual/review discussion of AI and mutation testing and does not present a clear empirical evaluation with quantitative results.,,
210,Parallel mutation testing for large scale systems,"Cañizares, Pablo C.; Núñez, Alberto; Filgueira, Rosa; De Lara, Juan",Cluster Computing,String B,EXCLUDE,"Excluded by IC4: the paper improves mutation testing performance through parallelization/load distribution, but does not apply AI/ML/LLM or intelligent optimization.",,
211,Mutation-based Consistency Testing for Evaluating the Code Understanding Capability of LLMs,"Li, Ziyu; Shin, Donghwan",Proceedings of the IEEE/ACM 3rd International Conference on AI Engineering - Software Engineering for AI,String B,EXCLUDE,"Excluded by EC4/IC4: the paper uses code mutations to evaluate LLM code understanding, but its main focus is LLM evaluation rather than mutation testing of software test suites or AI-guided mutation testing.",,
212,ReSuMo: a regression strategy and tool for mutation testing of solidity smart contracts,"Barboni, Morena; Morichetta, Andrea; Polini, Andrea; Casoni, Francesco",Software Quality Journal,String B,EXCLUDE,EC4: Mutation is used in a different context and the title does not indicate AI-guided mutant selection/ranking for Java projects.,,
213,Faster mutation testing through simultaneous mutation testing,"de Roos, Mart; Rensink, A.; van Hees, R.",,String B,EXCLUDE,"Excluded by IC4: the paper studies simultaneous/grouped mutation testing for performance, but does not apply AI/ML/LLM or intelligent optimization.",,
214,An Adaptive Mutation-Aware Test Case Ordering Framework Using Deep Learning and Quantum-Behaved Multi-Objective PSO.,"Sowmyadevi, S.; Alphy, Anna",Journal of Intelligent Systems & Internet of Things,String B,INCLUDE,"Relevant: applies deep learning and quantum-behaved multi-objective PSO in a mutation-aware test case ordering framework, with quantitative results on APFD, mutation scores and execution efficiency.",EXCLUDE,"Excluded by IC4 / intervention mismatch: The paper focuses on mutation-aware test case ordering using deep learning and QPSO. It uses mutation information for test prioritization, but does not study LLM-based mutant ranking/selection or mutant reduction for mutation testing."
215,WITNESS: A lightweight and practical approach to fine-grained predictive mutation testing,"Lu, Zeyu; Zhang, Peng; Chong, Chun Yong; Gao, Shan; Yang, Yibiao; Li, Yanhui; Chen, Lin; Zhou, Yuming",,String B,INCLUDE,"Relevant: proposes WITNESS, a machine-learning-based fine-grained predictive mutation testing approach for mutant-test kill prediction and efficiency improvement, evaluated on Defects4J.",INCLUDE,"Full text directly proposes WITNESS, a fine-grained predictive mutation testing approach for predicting individual test-mutant outcomes, evaluated on Defects4J/Java projects with quantitative cost and effectiveness results."
216,CAMUS: Context-Aware Neural Mutation Selection,"Chen, Mingda; Wang, Bo; Lin, Youfang; Zhang, Jie M.",2025 32nd Asia-Pacific Software Engineering Conference (APSEC),String B,EXCLUDE,"Excluded by EC2/insufficient abstract evidence: the record indicates PDF not found, so eligibility cannot be confirmed despite the title being potentially relevant.",,
217,Mutants and Test Cases Reduction Strategy for Fault Localization via Graph Representation,"Li, Zheng; Yang, Binbin; Deng, Yue; Wu, Shumei; Liu, Yong","2025 25th International Conference on Software Quality, Reliability, and Security Companion (QRS-C)",String B,EXCLUDE,"Excluded by EC2/insufficient abstract evidence: the record indicates PDF not found, so eligibility cannot be confirmed.",,
218,On Accelerating Deep Neural Network Mutation Analysis,"Lyons, Lauren",,String B,EXCLUDE,"EC4: Mutation analysis is for deep neural networks, not Java software mutation testing targeted by the RQ.",,
219,An Evolutionary Algorithm and a Clustering Technique to Select,"Benito-Parejo, Miguel; Méndez, Manuel; Merayo, Mercedes G.","Advances in Computational Collective Intelligence: 16th International Conference, ICCCI 2024, Leipzig, Germany, September 9–11, 2024, Proceedings, Part II",String B,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
220,Assessing Effectiveness of Test Suites: What Do We Know and What Should We Do?,"Zhang, Peng; Wang, Yang; Liu, Xutong; Lu, Zeyu; Yang, Yibiao; Li, Yanhui; Chen, Lin; Wang, Ziyuan; Sun, Chang-Ai; Yu, Xiao; Zhou, Yuming",ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
221,MUPPAAL: Efficient Elimination and Reduction of Useless Mutants in Real‐Time Model‐Based Systems,"Cuartas, Jaime; Cortés, David; Betancourt, Joan; Aranda, Jesús; Cordy, Maxime; Ortiz, James; Perrouin, Gilles; Schobbens, Pierre‐Yves","Software Testing, Verification and Reliability",String B,EXCLUDE,"Excluded by IC4: the paper removes equivalent/duplicate mutants using bisimulation/simulation strategies for timed automata, but does not apply AI/ML/LLM or intelligent optimization.",,
222,An Evolutionary Algorithm and a Clustering Technique to Select Good Subsets of Test for Finite State Machines,"Benito-Parejo, Miguel; Méndez, Manuel; Merayo, Mercedes G.",Advances in Computational Collective Intelligence,String B,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
223,RATEN: an efficient robustness analysis and test enhancement framework for state machines,"Babaei, Majid; Guéhéneuc, Yann-Gaël",Software and Systems Modeling,String B,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
224,MBFL-DKMR: Improving Mutation-based Fault Localization through Denoising-based Kill Matrix Refinement,"Liu, Hengyuan; Song, Xia; Liu, Yong; Li, Zheng",,String B,Unsure,"Related because it refines mutation-based fault localization kill matrices with signal-processing techniques and quantitative Defects4J results, but it focuses on fault localization rather than mutant selection/testing cost reduction.",EXCLUDE,"Excluded by IC4 / RQ mismatch: The paper focuses on mutation-based fault localization and kill-matrix refinement. Mutation data is used for fault localization, but the study does not address LLM-based mutant selection/ranking or mutation-testing effort reduction."
225,On accelerating deep neural network mutation analysis by neuron and mutant clustering,"Lyons, Lauren; Ghanbari, Ali","2025 IEEE Conference on Software Testing, Verification and Validation (ICST)",String B,EXCLUDE,"Excluded by population/scope: the paper concerns mutation analysis of deep neural networks and DNN test data/model robustness, not mutation testing of conventional software projects such as Java code.",,
226,Decomposition of Deep Neural Networks into Modules via Mutation Analysis,"Ghanbari, Ali",Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String B,EXCLUDE,"Excluded by EC4: the paper uses neuron mutation for DNN module decomposition, which is model analysis/decomposition rather than software mutation testing for test-suite adequacy.",,
227,Enhancing Smart Contract Reliability: Dynamic Approaches for Quality Assurance,"Barboni, Morena",,String B,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
228,"FLIMs: Fault Localization Interference Mutants, Definition, Recognition and Mitigation","Liu, Hengyuan; Li, Zheng; Wang, Donghua; Wu, Yankai; Chen, Xiang; Liu, Yong",,String B,EXCLUDE,EC4: Mutation is used in a different context and the title does not indicate AI-guided mutant selection/ranking for Java projects.,,
229,Speeding Up Genetic Improvement via Regression Test Selection,"Guizzo, Giovani; Williams, David; Harman, Mark; Petke, Justyna; Sarro, Federica",ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
230,Optimizing Mutation-Based Fault Localization Through Contribution-Based Test Case Reduction,"Wang, Haifeng; Yang, Kun; Wu, Tong",International Journal of Software Engineering and Knowledge Engineering,String B,EXCLUDE,"Excluded by EC2/insufficient abstract evidence: the record indicates PDF not found, so eligibility cannot be confirmed.",,
231,Evaluating LLMs for One-Shot Patching of Real and Artificial Vulnerabilities,"Garg, Aayush; Khan, Zanis Ali; Degiovanni, Renzo; Tang, Qiang",,String B,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
232,Benchmarking of unit tests generated by LLM,"Tuchyňa, Dominik",,String B,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
233,Automatic Fault Localization in the context of Automatic Program Repair,"Vacheret, Romain",,String B,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
234,"AI-Driven Software Test Automation: An AI4SE-Oriented Survey of Techniques, Tools, and Challenges","Faraji, Aazaade; Pombo, Nuno",IEEE Access,String B,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
235,Unlocking Optimal ORM Database Designs: Accelerated Tradeoff Analysis with Transformers,"Hasan, Md Rashedul; Hasan, Mohammad Rashedul; Bagheri, Hamid",Proceedings of the ACM on Software Engineering,String B,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
236,SURE: A Visualized Failure Indexing Approach Using Program Memory Spectrum,"Song, Yi; Zhang, Xihao; Xie, Xiaoyuan; Chen, Songqiang; Liu, Quanming; Gao, Ruizhi",ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
237,Neural Bug Detection,"Richter, Cedric",,String B,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
238,Beyond Code Generation: Assessing Code LLM Maturity with Postconditions,"He, Fusen; Zhai, Juan; Pan, Minxue",,String B,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
239,A Comparative Evaluation of Search-Based and Mutation-Driven LLM Test Generation: Pynguin and MuTAP,"Tabassum, Radia",,String C,EXCLUDE,"Excluded by EC2/insufficient abstract evidence: the record indicates PDF not found, so eligibility cannot be confirmed despite the title being potentially relevant.",,
240,Defining and Estimating Mutation Technical Debt: A Governance Metric for Mutation Testing Management,"Vincenzi, Auri; Paiva, Ana CR; Delamaro, Marcio E.; Maldonado, José Carlos",Available at SSRN 6799070,String C,EXCLUDE,EC4: Mutation is used in a different context and the title does not indicate AI-guided mutant selection/ranking for Java projects.,,
241,Improving students’ testing skill through mutation testing with modified feedback and training,"Mansur, Rifat Sabbir; Domino, Molly; Thompson, Jennifer Alexandra; Shaffer, Clifford A.; Edwards, Stephen H.",Computer Science Education,String C,EXCLUDE,EC4: Mutation is used in a different context and the title does not indicate AI-guided mutant selection/ranking for Java projects.,,
242,Illuminating Integration: A Critical Examination of Test Coverage Reporting in Continuous Integration Environments,"Reynolds, Michael A.",International Journal Of Engineering And Computer Science,String C,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
243,An empirical evaluation of white-box and black-box test case prioritization techniques in CPSs modeled in Simulink,"Arrieta, Aitor",Empirical Software Engineering,String C,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
244,A Systematic Literature Review on Design for Testability Approaches in Software Systems,"Abbasi, Narges; Parsa, Saeed; Zakeri, Morteza",ACM Computing Surveys,String C,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
245,Industrial Application of Deep Learning based Fault Localization with Mutation Features,"Yang, Heechan; Lee, Ahcheong; Cho, Kyutae; Kim, Yunsam",,String C,Unsure,"Related because it uses deep learning with mutation-based fault localization features and reports industrial quantitative cost/accuracy results, but the main focus is fault localization rather than mutant selection or mutation testing optimization itself.",EXCLUDE,Excluded by IC4 / RQ mismatch: The paper applies deep learning to fault localization with mutation features in an industrial setting. It is not focused on LLM-based mutant selection/ranking or reducing mutation-testing effort compared with random mutant selection.
246,Unsupervised Software Defect Prediction in Haskell: A Metrics-Driven Ensemble Approach Using Function-Level Thresholding,"Kumar, Rakesh; Chaturvedi, Amrita",Arabian Journal for Science and Engineering,String C,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
247,Is Fault Localization Effective on Industrial Software? A Case Study on Computer-Aided Engineering Projects,"Ren, Zhilei; Ma, Yue; Li, Xiaochen; Guo, Shikai; Jiang, He",ACM Transactions on Software Engineering and Methodology,String C,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
248,From Separate Compilation to Sound Language Composition,"Bruzzone, Federico; Cazzola, Walter; Favalli, Luca",arXiv preprint arXiv:2602.03777,String C,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
249,DeFT: Maintaining Determinism and Extracting Module Tests for Autonomous Driving Planning,"Huai, Yuqi; Chen, Yuntianyi; Wan, Ziwen; Chen, Qi Alfred; Garcia, Joshua",,String C,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
